"","X18","X21","X22","X25","X30","X31","X32","X37","X39","X41","X42","X44","X45","X117","X119","X122","X123","X124","X128","X129","X130","X132","X135","X137","X140","X141","X142","X143","X144","X209","X210","X211","X213","X214","X215","X218","X220","X222","X224","X231","X262","X263","X267","X268","X269","X270","X301","X302","X304","X309","X311","X312","X313","X315","X317","X319","X346","X348","X355","X358","X359","X360","X361","X364","X368","X370","X371","X409","X412","X416","X417","X421","X426","X428","X429","X431","X432","X436","X437"
"1789",3.10209592204255,6.26936150201264,7.117110083941,8.01874946855703,3.07690128373435,7.70232504599325,3.898393304059,5.76370988259993,1.01698155444413,7.36672927215565,5.33346398407881,0,3.67375224162688,2.89922178694766,4.29514985759074,7.76764669321629,2.54514059154143,1.36218804144971,3.61053049818994,7.69082797863502,1.17495150815249,11.0853789641029,3.43449794155241,0,1.6542763938232,1.63048522832611,1.65438756012571,0,1.8611457921495,0,3.3819293896776,0,3.52369795837279,3.25220419278201,2.36358304820457,0.908575877591287,0,2.24844180471849,6.63121909548531,5.109827017591,1.22078613086228,0,8.84806084495515,2.19767378823755,4.38718130616604,6.24451063762624,4.97119953983193,5.1868546260258,0.767288311166411,3.02377391460535,4.57407272961709,6.27251954683723,2.59019696354356,2.37985414771286,6.667348863288,0.981225862386352,1.20162467258233,2.10504357263497,1.05295394138021,5.76778783397668,3.23945062360142,3.57611353207219,0.797868617661131,1.4826632861725,5.37660887857201,0,2.74714382999534,0.778185373592515,4.47178876551867,3.25161719131629,4.04394105111448,2.21756954503635,2.32532055831349,4.99591326059435,1.37292184546936,0.769206449381975,0.705346641282833,4.85089240306017,4.04368138247277
"1790",0,0,0,0,0,0,0,1.44092747064998,0,0,1.3333659960197,0,2.44916816108459,0,0,0,0,0,0,0.769082797863502,0,0,0,0,0,0,0,0,0,0,0,1.96897931719902,1.17456598612426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981225862386352,1.20162467258233,0,0,0,0,0,0,0,0,0.922835139560748,0.686785957498836,0,0,0,0,1.10878477251817,0,0,0,0,0,0,0.808736276494554
"1791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1792",6.20419184408509,7.8367018775158,2.8468440335764,6.41499957484562,8.20507008995826,6.7395344152441,2.92379497804425,7.20463735324991,4.06792621777651,7.36672927215565,5.33346398407881,1.78952301065404,7.34750448325376,7.7312580985271,5.72686647678765,20.7137245152434,2.54514059154143,6.1298461865237,12.0351016606331,1.538165595727,17.6242726222873,19.3994131871801,18.3173223549462,7.67724409381487,2.4814145907348,17.9353375115873,11.58071292088,4.85811740500943,4.65286448037376,2.15172955724507,8.79301641316177,9.84489658599512,9.39652788899412,10.8406806426067,7.0907491446137,9.99433465350415,18.883908349564,0,8.84162546064708,8.51637836265167,14.0390405049162,8.67339560410225,10.8142965882785,5.49418447059387,11.4066713960317,12.4890212752525,12.7830845309964,8.89175078747281,13.8111896009954,6.04754782921071,7.31851636738735,7.3179394713101,5.18039392708711,5.55299301133,7.27347148722327,11.7747103486362,7.20974803549396,18.9453921537148,17.9002170034635,12.112354451351,5.66903859130248,7.86744977055881,6.38294894128905,7.4133164308625,10.753217757144,14.765362232972,10.3017893624825,6.22548298874012,5.3661465186224,7.31613868046166,3.03295578833586,9.97906295266357,5.42574796939814,7.49386989089152,3.43230461367339,5.38444514567382,3.52673320641417,5.4572539534427,8.08736276494554
"1793",0,0,0,0,0,0,0,0,0,0,0,0,1.22458408054229,0.966407262315887,0,0,0,0,0,0,1.17495150815249,1.38567237051287,0,0,0,0,0,0,0,0,0,0,1.17456598612426,0,0,0,1.18024427184775,0,0,0,0,2.16834890102556,0,0,0,1.04075177293771,0.710171362833132,0,1.53457662233282,0.755943478651339,0.914814545923418,0,0,0,0,0,0,0,0,0,0,1.43044541282887,0,0.74133164308625,0,0,0,0,0,0.812904297829074,0,0,0,1.24897831514859,0,0,0,0.606361550382522,0
"1794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681094020724856,1.20351016606331,0,0,2.77134474102573,1.14483264718414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04075177293771,0,0,0,0,0,0,0,0,0.606122623935273,0,0,0,0,0.576778783397668,0,0,0,0,0,0,0,0.778185373592515,0,0.812904297829074,0,0,0,0,0,0,0,0.606361550382522,0
"1795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769082797863502,0,0,0,0,0,0,0,0,0,0,0,3.93795863439805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05252178631749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81908465114757,0
"1797",0,0,1.4234220167882,0,0,0.962790630749157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676385877935521,0,0,0,0,0,0,0,0,3.40655134506067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894357753103733,0,0,0,0,0,0,0,0,0,0
"1798",1.55104796102127,1.56734037550316,0,0,3.07690128373435,1.92558126149831,1.9491966520295,0,0,1.22778821202594,0,0,4.89833632216918,0.966407262315887,0,0,2.54514059154143,1.36218804144971,0,0,2.34990301630498,1.38567237051287,1.14483264718414,1.53544881876297,0.827138196911601,0,0,0.809686234168238,0,0,0,0,2.34913197224853,1.08406806426067,1.18179152410228,0,4.720977087391,0,2.21040636516177,1.70327567253033,0,0,0,0,0,4.16300709175082,2.1305140884994,1.4819584645788,0,0,1.82962909184684,2.09083984894574,0,0.793284715904286,0,1.9624517247727,0,1.05252178631749,0,2.30711513359067,0.809862655900355,0,0,1.4826632861725,0,0,0,0.778185373592515,0,1.62580859565815,0,0,0,0,0.686460922734678,0.769206449381975,2.82138656513133,0.606361550382522,0.808736276494554
